"","Cap_Space_Rank","Team","W","L","OT_L","P","Active_Players","Avg_Age","Forward_Cap","Defense_Cap","Goalie_Cap","Total_Cap","Cap_Space","Year","Total_Cash_Rank","Forward_Cash","Defense_Cash","Goalie_Cash","Total_Cash","Total_Cap_M","Total_Cash_M"
"83",19,"Tampa Bay Lightning",36,17,3,75,"26/23",27.2,37205091,24759174,11150000,81500000,0,"20-21",2,59173627,23374058,16050000,100359590,81.5,100.35959
"84",20,"Dallas Stars",23,19,14,60,"23/23",27.9,45073681,18031666,4258333,81500000,0,"20-21",17,47881541,24493266,7850000,80674807,81.5,80.674807
"85",21,"Vancouver Canucks",23,29,4,50,"27/23",26,35951908,21362660,5350000,81500000,0,"20-21",26,43011111,22741421,4800000,71585865,81.5,71.585865
"86",22,"Anaheim Ducks",17,30,9,43,"22/23",27.8,37016498,17271572,7716834,81500000,0,"20-21",18,49085072,18609424,9281834,79638830,81.5,79.63883
"87",23,"Colorado Avalanche",39,13,4,82,"25/23",26.3,49508258,15755247,3562625,81500000,0,"20-21",14,58136729,19442902,7375248,84954879,81.5,84.954879
"88",24,"St Louis Blues",27,20,9,63,"25/23",27.3,47757793,26068017,5150000,81500000,0,"20-21",6,56918218,27531137,6567500,91016855,81.5,91.016855
"89",25,"Chicago Blackhawks",24,25,7,55,"26/23",24.8,33844524,18970984,2601773,81500000,0,"20-21",25,48177182,21874486,2904794,72956462,81.5,72.956462
"90",26,"Edmonton Oilers",35,19,2,72,"26/23",27.1,42318266,22293767,6460156,81500000,0,"20-21",4,53635400,29875503,6502812,91513715,81.5,91.513715
"91",27,"Winnipeg Jets",30,23,3,63,"25/23",27.2,51633477,17364036,7666666,81500000,0,"20-21",12,53396247,24453514,7545000,85394761,81.5,85.394761
"92",28,"Arizona Coyotes",24,26,6,54,"26/23",27.2,33309733,29675000,9550000,81500000,0,"20-21",23,32108549,27672004,9050000,73088886,81.5,73.088886
"93",29,"Vegas Golden Knights",40,14,2,82,"21/23",27.4,44752927,21416100,12000000,81500000,0,"20-21",8,51520530,24413456,10965000,86898986,81.5,86.898986
"94",30,"Boston Bruins",35,15,6,76,"28/23",27.5,51637115,16029730,9457324,82245943,-745943,"20-21",19,48481796,19287230,10429102,78198128,82.245943,78.198128
"95",31,"Nashville Predators",31,23,2,64,"32/23",26.8,45653120,26410114,6590510,83520657,-2020657,"20-21",5,53398439,28460386,7050510,91371389,83.520657,91.371389
